topic,languages,main_speaker,duration,film_date,published_date,comments,views
Technology&Science ,28,Tim Berners-Lee,983,2009,2009,179,1352069
Society,36,Dan Dennett,465,2009,2009,267,2373021
Society,36,Dan Ariely,983,2009,2009,280,2725557
Self-development,37,Adam Savage,938,2008,2009,104,1697809
Art,20,Bruce McCall,781,2008,2009,121,396905
Technology&Science ,41,Kamal Meattle,244,2009,2009,233,3095075
Environment,30,Saul Griffith,325,2009,2009,115,630431
Society,35,Jacqueline Novogratz,450,2009,2009,119,943565
Technology&Science ,20,David Pogue,1623,2008,2009,91,730407
Health&Medical,26,Nathan Wolfe,735,2009,2009,60,1045631
Art,20,C.K. Williams,1397,2001,2009,39,246094
Society,31,Jacek Utko,364,2009,2009,109,1055886
Technology&Science ,25,Ueli Gegenschatz,733,2009,2009,117,1442990
Art,20,Christopher C. Deam,381,2002,2009,18,308276
Technology&Science ,27,P.W. Singer,965,2009,2009,294,1460352
Art,27,Nathaniel Kahn,627,2002,2009,23,338831
Technology&Science ,21,Bruce Bueno de Mesquita,1145,2009,2009,252,744448
Technology&Science ,39,Bonnie Bassler,1094,2009,2009,420,2192828
Technology&Science ,24,Emily Levine,1372,2002,2009,147,2049904
Society,40,Renny Gleeson,226,2009,2009,92,1217412
Technology&Science ,25,Shai Agassi,1086,2009,2009,389,1139068
Technology&Science ,19,Gregory Stock,1071,2003,2009,144,497449
Technology&Science ,25,JoAnn Kuchera-Morin,387,2009,2009,103,630784
Self-development,27,Tim Ferriss,985,2008,2009,271,2771442
Self-development,33,Matthew Childs,288,2009,2009,55,739690
Technology&Science ,22,Margaret Wertheim,933,2009,2009,113,1280829
Technology&Science ,20,Niels Diffrient,1040,2002,2009,64,554650
Technology&Science ,32,Erik Hersman,236,2009,2009,33,403555
Politics,24,Nate Silver,556,2009,2009,238,427878
Art,24,Ben Katchor,671,2002,2009,20,294396
Politics,33,Alex Tabarrok,873,2009,2009,202,748739
Technology&Science ,21,Michael Merzenich,1387,2004,2009,130,1237391
Society,20,Sarah Jones,1260,2009,2009,112,1607397
Health&Medical,20,Laurie Garrett,1265,2007,2009,92,425429
Technology&Science ,39,Brian Cox,209,2009,2009,107,948459
Technology&Science ,29,Sean Gourley,439,2009,2009,142,909309
Education,20,Mae Jemison,888,2002,2009,99,744257
Art,21,Tom Shannon,715,2003,2009,80,1069653
Environment,47,Al Gore,464,2009,2009,846,775430
Society,22,Louise Fresco,1080,2009,2009,277,922158
Society,32,Seth Godin,1049,2009,2009,266,1985679
Health&Medical,40,Hans Rosling,602,2009,2009,125,904813
Economy,24,Nandan Nilekani,919,2009,2009,133,792495
Art,29,Naturally 7,236,2009,2009,88,1485196
Environment,25,Ray Anderson,954,2009,2009,109,881842
Society,37,Mary Roach,1003,2009,2009,354,22270883
Technology&Science,40,Carolyn Porco,209,2009,2009,181,884578
Art,45,Yves Behar,143,2009,2009,62,556657
Health&Medical,45,Joachim de Posada,358,2009,2009,591,2613400
