date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:38	22638/22638	---MCZ	200	added ('OK')	text/html	etag:W/%22bca67c257b16cb406862dbf4b47de99b%22	http://jasoseol.com/blog/post/13	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/13.html	(from http://jasoseol.com/blog/category/1)
11:33:40	24677/24677	---MCZ	200	added ('OK')	text/html	etag:W/%228738807c586d072a971b2cd628f8dbe9%22	http://jasoseol.com/blog/post/9	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/9.html	(from http://jasoseol.com/blog/category/1)
11:33:40	10104/10104	---M--	200	added ('OK')	image/png	etag:%22e78fcb948936a9bfa26e2e5104135b65%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/013/thumb/%eb%8c%80%ec%a7%80_26.png?1488808104	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/013/thumb/%eb%8c%80%ec%a7%80_2641cc.png	(from http://jasoseol.com/blog/category/1)
11:33:40	23667/23667	---M-Z	200	added ('OK')	text/html	etag:W/%22d97c01b798919145e84fb371ece4f33c%22	http://jasoseol.com/blog/post/8	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/8.html	(from http://jasoseol.com/blog/category/1)
11:33:42	8372/8372	---M--	200	added ('OK')	image/png	etag:%22a82d5afd0e647fe987f3646e1633b093%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/009/thumb/%eb%8c%80%ec%a7%80_26_copy_4.png?1488789958	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/009/thumb/%eb%8c%80%ec%a7%80_26_copy_408c5.png	(from http://jasoseol.com/blog/category/1)
11:33:42	21958/21958	---M-Z	200	added ('OK')	text/html	etag:W/%22302e298aaa0502132069fb827f1fcd40%22	http://jasoseol.com/blog/post/10	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/10.html	(from http://jasoseol.com/blog/category/2)
11:33:43	12411/12411	---M--	200	added ('OK')	image/png	etag:%225b6c4456265088db7922cc5483eba388%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/008/thumb/%eb%8c%80%ec%a7%80_26_copy_4.png?1488794340	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/008/thumb/%eb%8c%80%ec%a7%80_26_copy_45915.png	(from http://jasoseol.com/blog/category/1)
11:33:43	18853/18853	---M-Z	200	added ('OK')	text/html	etag:W/%22f72ae9726e0d559b1b4c826c19fa5deb%22	http://jasoseol.com/blog/post/6	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/6.html	(from http://jasoseol.com/blog/category/2)
11:33:45	12621/12621	---M--	200	added ('OK')	image/png	etag:%22592e6237bf0713643af6d4243afbb5ed%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/010/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-16.png?1488792126	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/010/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-166cb6.png	(from http://jasoseol.com/blog/category/2)
11:33:45	10596/10596	---M--	200	added ('OK')	image/png	etag:%22b7394c6fc83769b7de236521d9b5a6c7%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/006/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-15.png?1488792098	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/006/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-1501bb.png	(from http://jasoseol.com/blog/category/2)
11:33:46	19220/19220	---MCZ	200	added ('OK')	text/html	etag:W/%22d11a0bed4252aea4b61c0fbbbe69f559%22	http://jasoseol.com/blog/post/4	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/4.html	(from http://jasoseol.com/blog/category/2)
11:33:47	20681/20681	---MCZ	200	added ('OK')	text/html	etag:W/%22ca0c4b7227dd492dbe7780e2b018b64b%22	http://jasoseol.com/blog/post/3	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/3.html	(from http://jasoseol.com/blog/category/2)
11:33:47	202310/202310	---M--	200	added ('OK')	image/png	etag:%22029fe697a9311e447f1b92ec81b6fbd5%22	http://jasoseol.image.s3-ap-northeast-1.amazonaws.com/spec_images/images/000/183/791/original/%e1%84%87%e1%85%b3%e1%86%af%e1%84%85%e1%85%a9%e1%84%80%e1%85%b3_%e1%84%8e%e1%85%a1%e1%86%b7%e1%84%80%e1%85%a9%e1%84%8b%e1%85%b5%e1%84%86%e1%85%b5%e1%84%8c%e1%85%b5_%e1%84%89%e1%85%ae%e1%84%8c%e1%85%a5%e1%86%bc-03.png?1519957578	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.image.s3-ap-northeast-1.amazonaws.com/spec_images/images/000/183/791/original/%e1%84%87%e1%85%b3%e1%86%af%e1%84%85%e1%85%a9%e1%84%80%e1%85%b3_%e1%84%8e%e1%85%a1%e1%86%b7%e1%84%80%e1%85%a9%e1%84%8b%e1%85%b5%e1%84%86%e1%85%b5%e1%84%8c%e1%85%b5_%e1%84%89%e1%85%ae%e1%84%8c%e1%85%a5%e1%86%bc-03dcc2.png	(from http://jasoseol.com/blog/post/46)
11:33:47	13985/13985	---M--	200	added ('OK')	image/png	etag:%22b3b1efaf8a88bc60f7bb2dbd2febc98c%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/004/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-12.png?1488792073	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/004/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-120766.png	(from http://jasoseol.com/blog/category/2)
11:33:48	22237/22237	---MCZ	200	added ('OK')	text/html	etag:W/%22844a37780b44954da54953bf05914007%22	http://jasoseol.com/blog/post/2	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/2.html	(from http://jasoseol.com/blog/category/2)
11:33:49	27730/27730	---MCZ	200	added ('OK')	text/html	etag:W/%22dcae0b43e9a3d748797bc4f4864015ce%22	http://jasoseol.com/blog/post/1	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/1.html	(from http://jasoseol.com/blog/category/2)
11:33:50	10912/10912	---M--	200	added ('OK')	image/png	etag:%22b97a0f20d5d15dc7378bf7ebfe7dcf2d%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/003/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-11.png?1488792060	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/003/thumb/20170306_%eb%b8%94%eb%a1%9c%ea%b7%b8_%ec%8d%b8%eb%84%a4%ec%9d%bc_%ec%9e%91%ec%97%85-11da9a.png	(from http://jasoseol.com/blog/category/2)
